<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.16	20:00:00	4991.40	5017.93	4989.98	5012.65	15791	0	36
2026.03.16	21:00:00	5012.64	5020.42	5007.95	5012.97	16451	0	36
2026.03.16	22:00:00	5012.83	5021.52	5004.52	5004.67	7581	0	36
2026.03.17	01:00:00	5002.17	5015.50	5001.95	5012.84	8430	0	36
2026.03.17	02:00:00	5012.85	5014.01	4998.13	5002.80	12281	0	36
2026.03.17	03:00:00	5002.55	5028.03	4994.58	5027.81	16431	0	36
2026.03.17	04:00:00	5027.73	5029.48	5019.89	5022.61	13202	0	36
2026.03.17	05:00:00	5022.59	5033.42	5020.59	5027.57	10915	0	36
2026.03.17	06:00:00	5027.59	5042.26	5026.27	5037.81	9538	0	36
2026.03.17	07:00:00	5037.83	5044.22	5020.05	5020.70	13829	0	36
2026.03.17	08:00:00	5020.76	5022.79	5004.68	5009.97	15831	0	36
2026.03.17	09:00:00	5009.85	5027.82	5008.79	5021.13	12255	0	36
2026.03.17	10:00:00	5021.12	5029.53	5018.41	5024.59	14043	0	36
2026.03.17	11:00:00	5024.61	5025.85	5009.66	5010.52	13330	0	36
2026.03.17	12:00:00	5010.48	5016.27	4991.73	5000.17	14932	0	36
2026.03.17	13:00:00	5000.16	5011.51	4996.77	5003.25	12369	0	36
2026.03.17	14:00:00	5002.91	5023.80	4999.33	5011.62	15741	0	36
2026.03.17	15:00:00	5011.58	5031.54	5005.47	5016.52	21080	0	36
2026.03.17	16:00:00	5016.41	5020.54	5002.66	5007.53	21303	0	36
2026.03.17	17:00:00	5007.55	5017.41	4973.34	4997.75	22563	0	36
2026.03.17	18:00:00	4997.77	5005.74	4991.56	5002.06	19054	0	36
2026.03.17	19:00:00	5002.05	5008.60	4996.25	5002.43	14980	0	36
2026.03.17	20:00:00	5002.44	5008.95	4999.66	5003.67	12543	0	36
2026.03.17	21:00:00	5003.70	5005.51	4996.36	5000.21	12651	0	36
2026.03.17	22:00:00	5000.24	5006.75	4999.87	5006.14	6070	0	36
2026.03.18	01:00:00	4999.74	5003.64	4998.73	5002.89	4090	0	36
2026.03.18	02:00:00	5002.98	5012.48	5000.13	5004.15	8378	0	36
2026.03.18	03:00:00	5004.13	5015.84	4991.33	4998.56	15369	0	36
2026.03.18	04:00:00	4999.07	5006.91	4990.48	4991.89	12564	0	36
2026.03.18	05:00:00	4991.87	4997.84	4986.24	4991.22	10596	0	36
2026.03.18	06:00:00	4991.20	4993.48	4981.71	4987.10	8109	0	36
2026.03.18	07:00:00	4987.08	5002.50	4984.58	4997.55	11834	0	36
2026.03.18	08:00:00	4997.30	5016.48	4996.26	5009.36	12870	0	36
2026.03.18	09:00:00	5009.79	5014.78	4990.22	4994.95	11323	0	36
2026.03.18	10:00:00	4994.96	4996.81	4977.25	4987.87	13948	0	36
2026.03.18	11:00:00	4987.70	4995.58	4984.83	4992.07	11068	0	36
2026.03.18	12:00:00	4992.08	4992.08	4958.96	4967.62	14132	0	36
2026.03.18	13:00:00	4967.58	4973.92	4924.96	4930.13	21429	0	36
2026.03.18	14:00:00	4930.12	4932.40	4870.51	4881.42	25571	0	36
2026.03.18	15:00:00	4881.34	4885.77	4834.05	4878.29	28577	0	36
2026.03.18	16:00:00	4878.23	4894.57	4856.27	4869.65	24471	0	36
2026.03.18	17:00:00	4869.95	4880.34	4861.02	4862.51	19961	0	36
2026.03.18	18:00:00	4862.50	4890.56	4860.82	4886.85	18235	0	36
2026.03.18	19:00:00	4886.82	4898.94	4883.77	4890.51	17345	0	36
2026.03.18	20:00:00	4890.45	4899.46	4852.35	4852.72	23149	0	36
2026.03.18	21:00:00	4852.71	4865.17	4838.08	4843.21	22050	0	36
2026.03.18	22:00:00	4843.07	4848.50	4806.62	4818.71	15180	0	36
2026.03.19	01:00:00	4834.59	4842.52	4828.01	4836.68	12470	0	36
2026.03.19	02:00:00	4836.69	4848.56	4835.36	4841.09	14256	0	36
2026.03.19	03:00:00	4841.14	4866.93	4832.73	4849.95	19779	0	36
2026.03.19	04:00:00	4849.98	4862.05	4841.59	4858.60	16387	0	36
2026.03.19	05:00:00	4858.63	4865.80	4850.79	4850.83	12533	0	36
2026.03.19	06:00:00	4850.82	4853.62	4845.74	4849.85	9730	0	36
2026.03.19	07:00:00	4849.65	4853.94	4826.99	4827.46	14992	0	36
2026.03.19	08:00:00	4827.47	4842.06	4747.66	4763.75	23710	0	36
2026.03.19	09:00:00	4763.77	4784.17	4727.42	4728.04	20511	0	36
2026.03.19	10:00:00	4728.01	4740.32	4686.59	4709.12	24903	0	36
2026.03.19	11:00:00	4709.10	4725.71	4687.76	4698.83	23903	0	36
2026.03.19	12:00:00	4698.82	4719.86	4666.52	4678.63	21148	0	36
2026.03.19	13:00:00	4678.50	4699.55	4650.77	4652.14	20998	0	36
2026.03.19	14:00:00	4651.85	4653.92	4531.24	4574.29	27375	0	36
2026.03.19	15:00:00	4574.18	4621.28	4502.72	4621.28	31588	0	36
2026.03.19	16:00:00	4621.69	4649.16	4580.88	4601.48	30923	0	36
2026.03.19	17:00:00	4601.52	4638.73	4565.93	4596.22	28577	0	36
2026.03.19	18:00:00	4596.44	4626.78	4576.71	4584.65	26971	0	36
2026.03.19	19:00:00	4584.73	4629.72	4573.71	4615.91	25001	0	36
2026.03.19	20:00:00	4615.28	4622.90	4596.29	4622.86	22056	0	36
2026.03.19	21:00:00	4622.90	4662.92	4622.90	4643.98	27412	0	36
2026.03.19	22:00:00	4643.71	4661.74	4642.70	4650.11	11922	0	36
2026.03.20	01:00:00	4636.39	4647.71	4634.11	4643.67	12008	0	36
2026.03.20	02:00:00	4643.66	4665.22	4642.17	4648.67	14790	0	36
2026.03.20	03:00:00	4648.09	4699.10	4639.39	4677.23	23162	0	36
2026.03.20	04:00:00	4677.25	4703.51	4670.13	4698.07	17358	0	36
2026.03.20	05:00:00	4698.29	4735.88	4693.12	4725.59	17033	0	36
2026.03.20	06:00:00	4725.60	4727.45	4715.23	4721.45	10629	0	36
2026.03.20	07:00:00	4721.56	4723.58	4685.79	4688.45	17587	0	36
2026.03.20	08:00:00	4688.54	4701.24	4661.32	4669.27	20653	0	36
2026.03.20	09:00:00	4668.91	4708.10	4668.09	4706.30	15799	0	36
2026.03.20	10:00:00	4706.36	4734.75	4684.86	4693.59	19266	0	36
2026.03.20	11:00:00	4693.57	4700.21	4659.57	4667.57	18260	0	36
2026.03.20	12:00:00	4667.55	4670.04	4638.15	4645.34	20571	0	36
2026.03.20	13:00:00	4645.16	4674.12	4637.18	4671.57	19178	0	36
2026.03.20	14:00:00	4671.64	4695.62	4661.91	4678.35	22465	0	36
2026.03.20	15:00:00	4678.34	4679.72	4612.66	4616.40	28392	0	36
2026.03.20	16:00:00	4616.35	4622.50	4548.18	4564.17	30746	0	36
2026.03.20	17:00:00	4563.97	4579.85	4540.41	4553.24	28111	0	36
2026.03.20	18:00:00	4553.30	4613.84	4551.92	4583.22	25456	0	36
2026.03.20	19:00:00	4583.09	4600.88	4554.26	4573.30	24320	0	36
2026.03.20	20:00:00	4573.31	4578.43	4477.34	4499.30	25231	0	36
2026.03.20	21:00:00	4499.37	4516.70	4484.94	4501.64	26629	0	36
2026.03.20	22:00:00	4501.51	4514.32	4488.99	4490.65	15711	0	36
2026.03.20	23:00:00	4490.66	4490.66	4490.66	4490.66	1	0	43
2026.03.23	01:00:00	4498.78	4510.42	4452.39	4465.83	19685	0	36
2026.03.23	02:00:00	4465.25	4473.35	4319.80	4352.22	26742	0	36
2026.03.23	03:00:00	4350.74	4454.30	4330.27	4387.85	28725	0	36
2026.03.23	04:00:00	4387.84	4422.01	4354.83	4360.30	26458	0	36
2026.03.23	05:00:00	4361.26	4377.95	4335.13	4355.25	22451	0	36
2026.03.23	06:00:00	4354.88	4381.79	4350.04	4367.48	17921	0	36
